Income,Debt,Payment_History,Late_Payments,Credit_Utilization,Credit_Inquiries,Credit_History_Years,Creditworthy
120981,11706,99,0,0.26,1,19,1
131818,11488,84,0,0.31,1,15,1
58164,38377,34,6,0.66,8,2,0
89405,9243,87,0,0.18,1,18,1
60278,11996,92,0,0.32,2,5,1
132597,1105,93,1,0.28,1,21,1
109189,10600,81,1,0.26,2,17,1
129239,16385,88,0,0.33,1,8,1
108627,1619,88,0,0.37,1,21,1
27045,44714,18,6,0.58,6,3,0
92712,3610,73,0,0.38,1,12,1
24858,28491,14,7,0.74,8,4,0
72867,1203,70,1,0.17,0,10,1
57130,7828,80,0,0.3,0,24,1
74285,5858,94,0,0.14,2,19,1
87841,9012,83,0,0.23,1,15,1
37910,25216,21,5,0.85,9,3,0
28983,15636,53,8,0.55,4,5,0
31419,30003,18,7,0.91,8,0,0
57373,3513,97,1,0.3,1,17,1
105619,1145,99,0,0.11,0,18,1
50552,25336,14,6,0.81,9,5,0
69950,16173,85,0,0.39,0,18,1
96287,11776,73,0,0.29,2,15,1
59227,19096,59,3,0.65,6,3,0
47883,29063,49,7,0.88,9,4,0
91971,19658,75,0,0.3,0,22,1
138921,13231,88,1,0.13,0,10,1
139335,3415,84,0,0.34,1,18,1
149087,1370,74,0,0.35,0,21,1
103051,7477,82,0,0.11,2,11,1
27692,43555,20,4,0.7,7,7,0
67459,3650,70,1,0.14,1,20,1
146758,3941,71,1,0.11,1,15,1
62225,32434,17,6,0.74,5,4,0
86839,9808,96,0,0.11,0,9,1
71889,17131,81,0,0.14,1,15,1
51630,18958,77,0,0.32,2,10,1
66971,21928,16,8,0.9,5,8,0
36455,42144,45,7,0.53,6,4,0
75345,18622,71,1,0.36,1,7,1
146341,6021,90,1,0.1,2,15,1
105312,11561,75,1,0.13,1,13,1
98364,1529,77,0,0.32,2,12,1
100411,9190,91,0,0.18,1,23,1
107932,1294,71,1,0.13,2,21,1
76641,2816,79,0,0.35,2,12,1
132909,4744,73,1,0.13,2,12,1
143860,6408,91,1,0.26,2,22,1
50507,2436,85,0,0.15,2,8,1
134486,18359,82,0,0.37,2,13,1
69984,40135,4,4,0.6,5,2,0
66947,42956,22,8,0.54,9,8,0
131423,3005,70,1,0.3,0,17,1
125629,15422,92,1,0.35,2,12,1
149214,19380,86,1,0.25,1,17,1
71038,9078,85,1,0.26,1,24,1
71427,3428,81,0,0.12,0,10,1
23499,46587,42,7,0.59,9,4,0
140135,4003,92,0,0.28,0,6,1
51407,9032,70,0,0.12,0,7,1
68047,11230,97,0,0.2,0,5,1
47897,19666,10,5,0.86,8,0,0
70056,13775,82,0,0.29,0,11,1
100138,11055,94,1,0.38,0,23,1
136145,4067,91,0,0.16,0,8,1
65408,18420,73,0,0.15,2,22,1
23691,22470,1,7,0.71,4,6,0
123474,5141,92,0,0.17,0,17,1
110920,4456,82,0,0.12,0,9,1
50282,14937,80,1,0.25,0,12,1
106411,15182,97,0,0.29,1,10,1
123843,8437,85,0,0.38,2,21,1
138929,19706,74,1,0.34,0,21,1
139272,4450,84,1,0.22,1,12,1
140748,1564,71,1,0.31,2,6,1
32186,49607,23,8,0.68,6,7,0
20394,25524,9,4,0.85,9,4,0
65223,7701,75,1,0.36,1,7,1
106178,17639,74,0,0.38,1,22,1
28065,44873,40,7,0.85,4,5,0
73252,16261,93,1,0.11,1,11,1
33861,26587,11,6,0.73,8,9,0
110504,5675,83,0,0.13,0,7,1
40012,33812,25,8,0.7,7,5,0
42491,39188,7,9,0.74,5,4,0
60861,44203,32,3,0.81,7,5,0
146774,2549,76,0,0.22,0,6,1
79087,12618,84,1,0.15,1,5,1
102349,6296,74,1,0.37,2,7,1
106866,15310,98,1,0.4,0,13,1
146063,8866,95,1,0.27,2,9,1
65641,14998,71,0,0.37,2,8,1
56135,23095,21,7,0.92,9,6,0
106547,19591,80,1,0.33,0,12,1
80024,17862,84,1,0.29,0,17,1
147295,8631,96,0,0.19,1,15,1
62015,13234,88,0,0.14,2,20,1
114427,15166,80,0,0.4,2,20,1
54383,35138,36,3,0.64,9,7,0
123034,7636,72,1,0.15,2,21,1
96412,12108,89,0,0.1,1,13,1
118619,9521,71,1,0.16,2,15,1
149590,16710,81,1,0.34,2,11,1
125645,3886,90,1,0.26,1,7,1
127362,19693,96,0,0.24,1,14,1
67734,37257,42,9,0.57,8,7,0
100251,4392,90,0,0.33,1,19,1
143330,17998,83,1,0.29,2,8,1
138056,5164,80,1,0.37,2,22,1
28266,26183,32,5,0.77,9,8,0
86613,12384,82,0,0.12,2,18,1
94811,4440,92,0,0.32,2,13,1
51283,15633,38,4,0.89,8,7,0
72671,10339,96,1,0.31,2,24,1
37165,29439,3,9,0.51,9,3,0
77105,1877,71,0,0.23,0,20,1
22314,18883,56,6,0.54,7,1,0
56172,10312,79,1,0.11,0,15,1
99688,2625,80,1,0.2,1,6,1
75510,5497,96,1,0.29,1,7,1
112580,17963,96,1,0.35,2,14,1
85524,7853,99,0,0.1,0,6,1
47153,44605,31,8,0.77,8,6,0
86593,4536,88,0,0.39,1,23,1
33751,44882,46,3,0.61,5,3,0
43016,45215,38,7,0.63,6,9,0
47289,19747,6,8,0.89,9,4,0
112260,16438,96,1,0.38,0,8,1
100939,11449,88,0,0.36,2,6,1
69080,29379,15,3,0.67,4,6,0
112483,19297,86,0,0.18,2,22,1
56212,44299,51,5,0.91,9,5,0
58091,45171,14,8,0.87,9,9,0
81174,3668,84,1,0.23,0,5,1
98380,8848,72,0,0.38,2,18,1
149862,5690,79,0,0.12,0,16,1
130738,7966,77,1,0.14,1,14,1
142059,2177,94,1,0.14,0,19,1
68744,16860,14,9,0.64,7,2,0
139643,11636,81,0,0.21,0,23,1
125060,7456,90,1,0.2,2,24,1
63334,8903,85,1,0.16,0,17,1
61675,21922,1,4,0.55,5,2,0
43396,27755,33,8,0.68,7,6,0
33406,34781,9,6,0.61,8,3,0
120533,18376,86,1,0.12,0,9,1
126329,7764,83,1,0.13,0,8,1
98404,8022,70,0,0.17,2,8,1
63118,27521,21,7,0.52,8,2,0
31043,34853,55,8,0.92,8,1,0
82602,10122,70,1,0.32,1,6,1
147022,13541,78,0,0.39,1,21,1
83496,12657,74,0,0.27,2,21,1
37729,35545,10,7,0.63,6,4,0
59534,36686,14,5,0.67,5,9,0
75416,2814,79,0,0.37,0,19,1
26007,35514,48,7,0.77,8,4,0
127990,8968,88,0,0.32,2,20,1
139922,5846,88,0,0.24,2,20,1
101796,16804,90,1,0.16,1,21,1
76309,5931,92,0,0.21,0,10,1
56743,6171,75,0,0.22,1,13,1
68889,48099,13,3,0.52,7,6,0
125164,10354,74,1,0.15,1,18,1
54136,17727,77,1,0.19,0,9,1
141493,7523,81,0,0.22,1,19,1
149532,6590,77,1,0.22,2,18,1
51218,41380,46,9,0.73,8,5,0
49377,48001,47,9,0.6,4,6,0
66241,35599,5,6,0.57,5,6,0
50820,19925,47,3,0.73,6,3,0
129909,15565,82,0,0.37,2,6,1
63663,30367,28,9,0.81,4,5,0
70806,10984,82,1,0.32,2,23,1
57151,4610,98,0,0.26,1,8,1
61549,6680,81,1,0.26,0,18,1
144826,15122,90,1,0.39,2,12,1
52210,48362,12,5,0.57,8,3,0
114619,4554,84,1,0.18,1,7,1
52833,20704,59,5,0.58,4,1,0
97111,7845,84,0,0.2,1,17,1
102142,5493,93,1,0.14,0,13,1
144019,14422,94,0,0.33,1,21,1
45745,44455,15,9,0.65,9,4,0
107505,19135,77,0,0.14,2,10,1
73312,11340,76,1,0.19,1,11,1
23439,35312,35,3,0.81,5,0,0
135457,14057,98,0,0.32,2,22,1
107384,8184,74,0,0.25,2,14,1
75022,3658,72,0,0.18,0,15,1
57921,22035,15,7,0.77,6,0,0
53214,47876,39,6,0.85,6,9,0
109889,14178,80,0,0.35,2,20,1
26553,32881,35,3,0.87,5,0,0
52994,4744,72,1,0.14,2,16,1
127240,1025,94,1,0.19,2,15,1
30482,40108,45,5,0.62,9,9,0
103352,1016,93,0,0.38,1,20,1
58485,17696,16,8,0.69,5,1,0
61340,24784,37,6,0.52,6,3,0
50495,12987,74,0,0.2,0,18,1
118836,7722,88,0,0.27,1,7,1
64973,6619,86,0,0.39,1,8,1
24725,35061,49,3,0.7,9,0,0
28974,32500,56,9,0.66,7,8,0
94247,16745,82,1,0.11,2,11,1
127789,19990,76,1,0.39,1,11,1
60498,32883,22,6,0.64,5,8,0
65403,28470,56,6,0.57,9,4,0
63541,16015,95,1,0.11,0,13,1
136148,14122,80,0,0.32,0,5,1
50340,12181,81,0,0.39,2,8,1
144031,8693,78,0,0.22,1,6,1
114486,6877,71,1,0.18,2,19,1
85111,6136,70,0,0.31,1,11,1
104316,6520,92,1,0.36,0,10,1
134162,14467,81,0,0.33,2,12,1
68542,20913,22,8,0.57,7,8,0
92828,16836,84,0,0.15,1,20,1
79680,6057,93,0,0.27,1,18,1
148656,8005,90,0,0.22,0,8,1
27041,33767,30,8,0.75,5,2,0
49158,35293,1,8,0.73,6,8,0
93919,11457,95,1,0.34,0,9,1
46909,34659,43,6,0.78,4,3,0
42588,32671,28,9,0.79,9,4,0
27902,32573,52,9,0.8,6,4,0
52169,19556,74,1,0.21,2,10,1
69116,41325,5,9,0.9,5,5,0
67899,34830,42,5,0.94,4,4,0
35234,37211,40,7,0.84,9,1,0
64674,33066,59,5,0.66,5,8,0
70918,11171,96,0,0.35,2,24,1
82994,16036,97,0,0.19,1,22,1
51589,46738,28,9,0.67,9,9,0
45017,28528,14,4,0.87,7,1,0
65086,18387,72,0,0.29,2,20,1
140930,11380,88,0,0.21,2,9,1
20352,36586,32,6,0.93,9,1,0
74351,9367,75,0,0.25,2,22,1
68015,25532,14,7,0.85,8,7,0
62602,25489,52,3,0.85,4,4,0
54283,31958,26,6,0.56,9,7,0
106044,6808,82,0,0.1,1,21,1
72800,18888,95,0,0.36,2,10,1
61950,11704,77,1,0.39,2,14,1
129737,8776,85,0,0.29,1,7,1
76853,9183,91,0,0.15,1,20,1
40927,49579,7,3,0.94,7,1,0
106446,5109,80,1,0.12,2,16,1
121354,19606,99,0,0.14,1,11,1
99768,16360,98,1,0.3,1,11,1
131958,4342,92,0,0.31,1,19,1
129267,8189,83,0,0.31,0,5,1
71119,19771,89,0,0.36,1,15,1
83691,2125,95,0,0.3,2,9,1
79661,14419,95,0,0.17,1,13,1
65650,25346,4,3,0.85,8,7,0
78044,8165,90,1,0.35,1,11,1
118199,16033,95,0,0.13,2,16,1
68705,1555,81,0,0.39,2,6,1
125225,13046,73,1,0.22,1,21,1
50307,4359,86,0,0.2,1,23,1
38185,39240,21,7,0.51,4,7,0
139962,3659,91,1,0.18,1,10,1
68071,7833,72,1,0.14,0,23,1
48067,37258,40,4,0.62,9,8,0
76015,1552,87,1,0.36,1,24,1
106958,17538,79,1,0.2,0,13,1
140327,1338,77,0,0.34,2,9,1
25695,45204,3,9,0.78,7,4,0
145430,1717,98,0,0.35,0,17,1
102130,8373,89,1,0.29,0,6,1
144753,7523,83,1,0.27,2,14,1
108002,3763,85,0,0.36,0,24,1
123273,15024,70,1,0.3,2,5,1
63271,16161,47,9,0.55,9,7,0
129332,5086,94,1,0.27,0,18,1
96505,1564,96,1,0.22,1,19,1
117081,10327,77,1,0.13,0,18,1
70389,4241,87,0,0.23,2,5,1
134246,12439,91,0,0.35,2,19,1
42174,49651,27,8,0.73,6,2,0
117262,6791,79,0,0.29,2,13,1
120305,5796,92,1,0.27,0,23,1
29387,26279,0,4,0.68,7,0,0
46279,18324,56,4,0.61,7,1,0
114360,17666,95,1,0.19,0,5,1
106207,2212,91,1,0.23,0,14,1
80682,15289,93,0,0.39,2,20,1
31219,24399,13,3,0.84,9,3,0
65282,10641,88,0,0.35,0,11,1
124478,16507,88,0,0.35,0,17,1
54381,30545,23,7,0.72,7,2,0
69874,19163,96,0,0.37,2,19,1
35471,38244,51,4,0.56,4,2,0
88402,6810,91,0,0.16,1,23,1
79813,19895,85,1,0.28,2,10,1
57055,42213,18,5,0.64,9,3,0
142949,6208,85,1,0.3,0,19,1
117359,7852,86,1,0.26,1,6,1
133524,13219,81,1,0.14,2,13,1
88409,18513,76,1,0.23,0,5,1
110263,17023,72,1,0.12,1,10,1
142385,11702,82,1,0.35,1,11,1
62197,33790,56,8,0.5,4,3,0
34588,27380,21,5,0.63,5,9,0
105677,4850,87,0,0.29,2,13,1
69695,47747,38,6,0.56,4,7,0
46707,48868,32,7,0.84,6,6,0
77716,4236,78,0,0.26,0,23,1
110315,15025,88,0,0.17,1,19,1
90372,16379,80,1,0.14,2,10,1
125033,10107,77,1,0.15,0,7,1
67400,8347,79,1,0.39,0,15,1
109711,7816,93,1,0.19,2,7,1
76723,13765,92,1,0.17,1,6,1
124532,17458,75,1,0.26,1,8,1
98517,11832,76,0,0.23,2,13,1
69982,12425,98,0,0.11,0,16,1
102091,12891,92,1,0.22,1,22,1
139388,1342,84,1,0.2,1,19,1
137051,16924,80,0,0.21,0,10,1
117708,14158,93,0,0.12,1,9,1
58536,13944,71,0,0.29,1,19,1
66628,38092,17,9,0.5,6,0,0
125250,2627,93,0,0.23,2,6,1
86289,1572,80,0,0.17,2,15,1
135445,12531,71,0,0.28,0,7,1
148317,5599,76,0,0.3,2,10,1
40601,34116,25,8,0.82,7,0,0
26655,37574,3,6,0.75,5,8,0
52542,28092,46,5,0.67,9,9,0
104615,17967,80,1,0.24,0,22,1
101707,1475,78,1,0.18,2,13,1
101720,16037,99,0,0.12,2,24,1
66709,16722,98,0,0.24,2,8,1
122391,19678,77,1,0.14,1,7,1
105826,4683,97,0,0.3,1,23,1
94066,17762,72,1,0.19,2,5,1
143059,4959,99,1,0.3,1,23,1
24023,32100,50,8,0.72,8,3,0
75556,19099,71,0,0.32,1,15,1
41292,46876,55,9,0.78,4,8,0
101813,3064,81,1,0.18,0,15,1
145745,15011,88,1,0.36,2,17,1
60283,19279,93,0,0.23,2,15,1
95771,1818,77,1,0.32,0,22,1
124905,10283,83,1,0.26,0,19,1
21843,15073,59,8,0.55,7,9,0
114418,19643,74,1,0.31,2,12,1
64695,18065,59,5,0.58,5,7,0
77076,12837,91,1,0.24,1,18,1
133981,16706,91,1,0.12,1,24,1
111260,7694,97,1,0.14,2,21,1
60040,36057,58,9,0.65,4,3,0
57695,43853,13,9,0.79,4,6,0
45689,21083,54,7,0.61,8,2,0
78529,4186,86,1,0.32,1,17,1
24427,20361,3,4,0.72,7,2,0
59247,17925,87,1,0.33,1,13,1
143607,19449,70,1,0.31,1,6,1
135150,1488,80,1,0.3,1,18,1
118323,8927,92,0,0.39,0,11,1
57361,30184,29,7,0.54,4,0,0
54721,21840,10,8,0.63,8,5,0
22693,30858,10,7,0.7,5,9,0
75081,12350,94,1,0.32,0,22,1
83142,13197,82,0,0.17,0,19,1
49482,31571,56,9,0.78,9,6,0
107913,3637,80,1,0.23,0,5,1
65028,30295,53,3,0.58,6,5,0
79806,9553,95,1,0.34,0,7,1
42993,27386,49,8,0.63,6,7,0
127485,9519,77,0,0.17,2,17,1
108817,13391,88,0,0.18,0,10,1
99028,18109,93,1,0.23,0,24,1
69008,6738,88,0,0.35,1,19,1
64716,16795,72,0,0.22,0,17,1
77052,9982,87,1,0.27,0,23,1
108703,16898,77,1,0.22,2,23,1
83635,14779,89,0,0.24,2,16,1
42733,17473,44,6,0.6,7,5,0
63986,13666,74,1,0.21,0,11,1
59486,7094,92,0,0.27,0,12,1
109251,8036,93,0,0.18,0,8,1
36267,33268,31,6,0.54,7,7,0
23088,16115,34,9,0.72,6,1,0
87344,19255,81,1,0.17,1,17,1
124637,13497,88,1,0.13,2,7,1
57486,39111,30,6,0.87,4,6,0
117957,8119,75,1,0.17,0,16,1
123705,10133,99,1,0.12,0,12,1
129369,2381,96,1,0.31,0,12,1
88826,1726,98,0,0.37,1,8,1
132249,3486,73,0,0.36,2,15,1
62665,1534,90,0,0.14,2,10,1
69456,10259,72,0,0.23,0,19,1
27820,33170,3,6,0.66,6,7,0
47453,27906,12,6,0.51,8,5,0
26931,16091,44,6,0.56,5,4,0
99812,11521,88,0,0.14,2,19,1
136416,5735,70,1,0.13,2,18,1
111272,3113,72,0,0.1,0,12,1
127994,11713,91,0,0.14,2,7,1
106570,6124,92,1,0.21,0,22,1
96157,9266,76,0,0.32,2,19,1
60159,36516,8,3,0.72,8,6,0
27549,28397,18,5,0.76,8,9,0
87744,13775,71,1,0.18,2,6,1
55343,27714,41,3,0.72,7,2,0
98456,2863,89,0,0.23,0,5,1
21076,22235,53,4,0.73,5,8,0
132733,3031,72,1,0.28,2,17,1
70884,6454,86,1,0.24,0,20,1
77586,18721,70,0,0.28,1,20,1
120821,10589,90,0,0.23,2,14,1
49049,24815,39,3,0.76,7,3,0
134149,4009,86,1,0.1,1,24,1
87045,19953,81,1,0.39,1,20,1
143610,6387,72,0,0.39,1,15,1
58593,18358,75,1,0.37,2,6,1
77197,11471,78,0,0.38,0,8,1
61345,2309,99,0,0.29,0,15,1
54600,38984,47,3,0.93,4,4,0
80403,1785,97,0,0.4,0,19,1
146297,17698,89,0,0.1,2,6,1
82955,12948,71,0,0.39,2,10,1
68653,6275,83,1,0.17,1,10,1
64187,25681,8,6,0.76,9,7,0
40600,17466,29,3,0.71,8,5,0
44405,17620,22,4,0.81,6,0,0
69982,15048,50,5,0.94,4,6,0
32612,28091,31,4,0.57,5,9,0
131571,4040,92,1,0.15,0,7,1
58320,17821,84,0,0.22,2,22,1
64357,14368,71,1,0.24,2,11,1
107134,14368,87,1,0.13,1,22,1
28521,16746,55,9,0.56,8,0,0
131929,11617,94,0,0.37,0,9,1
149616,8314,85,1,0.17,2,20,1
41380,39796,31,6,0.94,5,5,0
121094,12971,96,0,0.25,0,17,1
38830,35289,10,5,0.87,9,4,0
141549,13222,98,0,0.36,2,7,1
62060,24862,7,6,0.62,4,8,0
133122,16374,84,0,0.25,1,11,1
21234,49188,20,3,0.68,8,0,0
20271,33414,18,7,0.86,5,9,0
65240,4968,98,0,0.12,1,8,1
93258,3925,70,1,0.32,2,5,1
73154,13182,80,0,0.26,2,20,1
84148,10865,77,0,0.16,0,24,1
106746,13474,89,1,0.33,0,16,1
70991,8262,71,1,0.26,2,16,1
78341,11067,70,0,0.2,2,21,1
95853,17622,89,1,0.17,0,14,1
56041,13673,99,0,0.29,0,23,1
24893,24476,54,9,0.68,7,9,0
73196,8519,75,0,0.39,2,6,1
66648,16055,11,9,0.86,4,2,0
51168,13356,95,0,0.16,0,12,1
145549,17433,85,0,0.31,0,6,1
120990,4150,75,0,0.3,2,12,1
54743,18216,59,8,0.62,4,0,0
27991,30439,36,7,0.75,4,3,0
24931,41411,4,9,0.62,9,9,0
84765,9963,98,0,0.14,1,19,1
89029,2737,72,0,0.38,2,16,1
111386,18755,70,0,0.16,1,11,1
90581,3068,95,1,0.28,2,11,1
66733,31991,25,9,0.69,5,3,0
131787,11707,74,1,0.32,0,12,1
89791,15062,99,1,0.27,1,8,1
86963,19939,71,0,0.15,2,14,1
23055,27186,58,5,0.89,4,5,0
30559,33125,40,8,0.61,8,2,0
55897,47872,9,4,0.9,7,4,0
133600,9433,75,1,0.2,0,10,1
110011,6867,89,1,0.25,2,8,1
71182,7605,81,1,0.33,2,21,1
92240,7276,89,1,0.29,0,24,1
67653,31740,47,8,0.54,5,8,0
102161,12824,73,1,0.18,0,13,1
134627,8959,98,0,0.19,0,11,1
117889,5799,84,0,0.23,2,7,1
97153,10738,97,1,0.39,2,20,1
47609,39070,7,5,0.8,5,6,0
38040,15246,49,7,0.86,6,0,0
66371,13316,99,0,0.22,0,16,1
124804,10139,77,1,0.37,1,19,1
48702,16892,58,6,0.78,8,1,0
98747,17388,76,1,0.35,1,19,1
148499,3187,97,0,0.25,2,24,1
29910,16778,56,4,0.52,4,5,0
42658,49986,26,6,0.9,4,4,0
69911,45262,19,3,0.61,8,6,0
96804,12435,88,1,0.1,0,7,1
98511,9605,75,0,0.2,2,18,1
92968,8329,74,1,0.12,1,7,1
121356,15292,82,1,0.31,1,12,1
57443,26803,17,4,0.72,7,8,0
112665,6972,80,0,0.33,0,21,1
94328,14434,74,1,0.21,0,11,1
132357,11394,75,1,0.17,2,10,1
23407,42843,22,3,0.82,4,1,0
73954,13891,79,0,0.11,1,5,1
59505,5498,95,0,0.33,1,13,1
54640,26346,43,6,0.84,6,5,0
143635,13718,94,1,0.18,2,23,1
66237,10203,90,1,0.19,1,8,1
86939,5360,76,1,0.39,2,19,1
122833,4084,95,0,0.29,2,10,1
149246,5620,77,0,0.19,2,22,1
118099,4292,83,0,0.12,1,24,1
89148,18392,96,0,0.16,2,20,1
57174,40568,43,4,0.53,7,7,0
59348,6334,98,0,0.31,2,16,1
41699,17347,46,5,0.7,7,9,0
140355,5107,84,0,0.13,1,17,1
53890,9838,90,0,0.12,0,18,1
73929,14272,89,0,0.35,0,5,1
65765,23007,35,3,0.79,9,6,0
136006,18118,94,0,0.39,2,21,1
92674,17940,77,0,0.26,2,20,1
78933,9921,96,1,0.17,1,5,1
74842,2708,84,1,0.11,1,15,1
61924,24187,58,6,0.72,4,0,0
98320,15646,92,1,0.21,1,22,1
92818,3118,93,1,0.4,1,5,1
22673,49890,9,5,0.87,4,4,0
78363,10972,77,1,0.36,2,16,1
51132,6491,74,0,0.26,0,22,1
69520,8657,94,0,0.12,1,13,1
65590,39785,45,5,0.93,5,3,0
51323,35796,13,6,0.93,5,0,0
28245,46414,30,5,0.55,8,0,0
21384,37689,36,6,0.6,9,1,0
64754,34464,52,7,0.67,7,5,0
20012,26162,50,6,0.6,7,0,0
43457,20036,23,3,0.51,6,6,0
85585,16096,78,0,0.19,1,8,1
59885,1778,83,1,0.27,0,9,1
69601,18831,95,1,0.18,1,24,1
83477,16857,75,0,0.32,1,6,1
